winner_binary,season,team1,team2,runs_difference,wickets_difference,boundary_difference,team1_wickets,team2_wickets,team1_dot_ball_percentage,team2_dot_ball_percentage,toss_won_by_team1,toss_decision_bat,match_id
0,2015/16,Zimbabwe,Ireland,-17,1,-2,2,1,76.19047619047619,66.66666666666666,0,0,919617
1,2015/16,Bangladesh,Zimbabwe,-4,1,1,2,1,73.77049180327869,65.57377049180327,0,0,931390
1,2015/16,Bangladesh,Zimbabwe,-3,-2,0,1,3,68.33333333333333,66.66666666666666,0,0,931392
1,2015/16,Bangladesh,Zimbabwe,-9,-3,0,0,3,70.96774193548387,58.06451612903226,1,1,931394
1,2016,West Indies,South Africa,18,1,3,1,0,59.01639344262295,72.1311475409836,0,1,932849
0,2016,West Indies,Australia,-6,0,-3,1,1,60.60606060606061,63.33333333333333,0,0,932851
0,2016,Australia,South Africa,5,-1,1,2,3,61.904761904761905,61.66666666666667,0,1,932853
1,2016,Australia,South Africa,-2,0,1,1,1,64.51612903225806,58.06451612903226,1,1,932855
1,2016,West Indies,Australia,-34,0,-8,1,1,60.0,51.66666666666667,1,0,932857
0,2016,West Indies,South Africa,-22,-1,-4,0,1,55.00000000000001,49.23076923076923,1,0,932859
0,2016,West Indies,Australia,-24,1,-4,3,2,72.58064516129032,55.00000000000001,0,0,932863
1,2016,West Indies,South Africa,8,1,2,4,3,69.84126984126983,67.74193548387096,0,0,932865
0,2016,West Indies,Australia,7,1,3,1,0,65.0,61.904761904761905,0,1,932867
1,2016/17,South Africa,Ireland,29,-2,7,0,2,50.79365079365079,60.9375,0,0,936131
1,2016/17,Australia,Ireland,-29,0,-3,1,1,70.49180327868852,39.682539682539684,0,1,936133
1,2016/17,South Africa,Australia,-23,1,-7,1,0,57.14285714285714,45.90163934426229,1,0,936135
1,2016/17,South Africa,Australia,12,-2,2,0,2,55.00000000000001,59.375,0,0,936137
1,2016/17,South Africa,Australia,11,-1,1,0,1,48.38709677419355,38.70967741935484,0,1,936139
1,2016/17,South Africa,Australia,-5,1,-1,3,2,73.33333333333333,70.96774193548387,0,1,936141
1,2016/17,South Africa,Australia,-8,2,-2,2,0,58.333333333333336,59.67741935483871,1,1,936143
1,2016/17,South Africa,Sri Lanka,-6,2,5,2,0,80.0,48.333333333333336,1,0,936159
1,2016/17,South Africa,Sri Lanka,6,-1,0,1,2,55.00000000000001,56.666666666666664,0,0,936161
1,2016/17,South Africa,Sri Lanka,2,-1,1,0,1,58.06451612903226,60.0,1,0,936163
1,2016/17,South Africa,Sri Lanka,-41,1,-7,1,0,55.00000000000001,40.98360655737705,1,1,936165
1,2016/17,South Africa,Sri Lanka,-2,-4,5,0,4,55.73770491803278,46.774193548387096,0,0,936167
0,2016,Sri Lanka,Australia,-18,0,-5,1,1,55.73770491803278,57.377049180327866,0,0,995457
1,2016,Sri Lanka,Australia,17,-1,4,2,3,61.904761904761905,63.33333333333333,1,1,995459
0,2016,Sri Lanka,Australia,8,-1,3,2,3,60.0,56.451612903225815,1,1,995461
0,2016,Sri Lanka,Australia,-77,0,-16,3,3,74.60317460317461,42.62295081967213,1,1,995463
0,2016,Sri Lanka,Australia,27,-2,4,0,2,54.83870967741935,66.12903225806451,1,1,995465
1,2016,Scotland,United Arab Emirates,11,1,1,1,0,48.333333333333336,59.67741935483871,0,0,997993
1,2016,Scotland,United Arab Emirates,15,0,1,2,2,56.25,73.33333333333333,0,1,997995
1,2016/17,Australia,Pakistan,14,2,6,3,1,53.96825396825397,62.5,1,1,1000887
0,2016/17,Australia,Pakistan,13,3,0,3,0,58.730158730158735,71.42857142857143,1,1,1000889
1,2016/17,Australia,Pakistan,5,-1,-1,1,2,65.07936507936508,68.85245901639344,1,0,1000891
1,2016/17,Australia,Pakistan,-5,-1,-3,0,1,45.0,55.73770491803278,1,1,1000893
1,2016/17,Australia,Pakistan,17,-1,3,0,1,48.333333333333336,59.375,1,1,1000895
1,2016/17,Australia,New Zealand,3,0,1,2,2,69.35483870967742,70.96774193548387,1,1,1001371
1,2016/17,Australia,New Zealand,1,-2,-3,0,2,48.4375,62.903225806451616,0,0,1001373
1,2016/17,Australia,New Zealand,-17,1,-1,2,1,73.84615384615385,60.317460317460316,1,1,1001375
1,2016,Scotland,Hong Kong,17,-1,4,0,1,63.33333333333333,66.12903225806451,1,1,1004285
0,2016,Zimbabwe,India,5,1,-1,2,1,70.3125,73.33333333333333,0,0,1007649
0,2016,Zimbabwe,India,-3,3,-5,3,0,63.934426229508205,70.96774193548387,0,0,1007651
0,2016,Zimbabwe,India,-11,1,1,1,0,77.41935483870968,59.09090909090909,1,1,1007653
1,2016/17,New Zealand,Bangladesh,7,0,-2,1,1,58.06451612903226,73.4375,1,1,1019973
1,2016/17,New Zealand,Bangladesh,5,0,0,1,1,73.01587301587301,72.1311475409836,0,0,1019975
1,2016/17,New Zealand,Bangladesh,0,-2,0,0,2,64.51612903225806,61.904761904761905,0,1,1019977
1,2016/17,New Zealand,Australia,17,-2,1,1,3,54.09836065573771,65.0,0,0,1020013
1,2016/17,New Zealand,Australia,7,-1,3,1,2,59.67741935483871,63.934426229508205,1,1,1020017
0,2016/17,New Zealand,South Africa,2,1,-2,1,0,60.317460317460316,52.459016393442624,0,0,1020031
1,2016/17,New Zealand,South Africa,-9,0,-2,1,1,68.85245901639344,63.934426229508205,0,0,1020033
0,2016/17,New Zealand,South Africa,10,-1,4,1,2,56.666666666666664,65.57377049180327,0,1,1020035
1,2016/17,New Zealand,South Africa,-6,0,-3,1,1,58.06451612903226,61.66666666666667,0,1,1020037
0,2016/17,New Zealand,South Africa,9,0,1,1,1,66.66666666666666,74.19354838709677,0,0,1020039
1,2017,England,Bangladesh,-15,-1,-1,0,1,73.77049180327869,53.333333333333336,1,0,1022347
1,2017,South Africa,Sri Lanka,-55,-1,-11,0,1,63.49206349206349,41.53846153846154,0,0,1022351
1,2017,India,Pakistan,-5,-1,-1,0,1,57.377049180327866,54.83870967741935,0,0,1022353
1,2017,England,New Zealand,10,0,1,1,1,65.0,63.33333333333333,0,0,1022357
